month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,road_condition,lighting_condition,weather_group,Actual_Severity,Predicted_Severity,Risk_Score
October,Sunday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,5.878059504616738
October,Tuesday,Unknown,Truck,Unidentified,1,18-30,Unknown,Wet,Dark,Clear,Severe,Minor,46.0
October,Thursday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
June,Thursday,Tripura,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Minor,Severe,30.0
July,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Daylight,Rainy,Minor,Minor,1.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,11.0
October,Wednesday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,11.668340447622787
May,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,22.96208499086769
September,Saturday,Unknown,Truck,Unidentified,3,31-50,Unknown,Wet,Dark,Rainy,Minor,Minor,28.000000000000004
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,0.7059031459879815
March,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Severe,72.81133786848073
April,Tuesday,Unknown,Truck,Unidentified,3,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,40.0
May,Sunday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
March,Tuesday,Odisha,Truck,Unidentified,4,Over 51,Unknown,Dry,Daylight,Fog/Mist,Minor,Severe,47.0
April,Monday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,2.0
April,Thursday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,17.73326943154662
October,Tuesday,Haryana,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
June,Tuesday,Madhya Pradesh,Truck,Gorge,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
May,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Wet,Dark,Clear,Minor,Minor,24.827600497306257
March,Thursday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Severe,Minor,2.411563147910977
November,Sunday,Chhattisgarh,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
May,Thursday,West Bengal,Truck,Unidentified,3,Over 51,Unknown,Dry,Twilight,Rainy,Severe,Severe,24.0
July,Sunday,Maharashtra,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,1.0
April,Tuesday,Unknown,Truck,Unidentified,6,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,5.827600497306258
October,Tuesday,Karnataka,Car,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,0.0
March,Monday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
