,accident_id,source,year,month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,cause_of_accident,road_condition,lighting_condition,fatalities,injuries,casualties,severity,weather_group
0,KAG_000001,Kaggle_Accident_prediction,2018,January,Wednesday,Uttar Pradesh,Truck,Unidentified,5,Over 51,Unknown,Unknown/Other,Dry,Twilight,4,1,5,Minor,Fog/Mist
1,KAG_000002,Kaggle_Accident_prediction,2020,November,Tuesday,Meghalaya,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Dry,Daylight,2,4,6,Serious,Rainy
2,KAG_000003,Kaggle_Accident_prediction,2022,December,Wednesday,Himachal Pradesh,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Damaged/Construction,Dark,5,0,1,Minor,Clear
3,KAG_000004,Kaggle_Accident_prediction,2021,July,Saturday,Rajasthan,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,1,6,7,Fatal,Clear
4,KAG_000005,Kaggle_Accident_prediction,2018,June,Saturday,Nagaland,Truck,Unidentified,5,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,3,2,5,Minor,Fog/Mist
5,KAG_000006,Kaggle_Accident_prediction,2022,February,Monday,Meghalaya,Truck,Unidentified,1,Over 51,Unknown,Unknown/Other,Damaged/Construction,Twilight,1,3,4,Serious,Fog/Mist
6,KAG_000007,Kaggle_Accident_prediction,2022,February,Wednesday,Chhattisgarh,Truck,Unidentified,2,Over 51,Unknown,Unknown/Other,Damaged/Construction,Daylight,5,0,5,Fatal,Rainy
7,KAG_000008,Kaggle_Accident_prediction,2022,February,Sunday,Tripura,Truck,Unidentified,1,31-50,Unknown,Unknown/Other,Damaged/Construction,Twilight,1,7,8,Serious,Fog/Mist
8,KAG_000009,Kaggle_Accident_prediction,2021,February,Wednesday,Karnataka,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Damaged/Construction,Dark,5,0,1,Minor,Rainy
9,KAG_000010,Kaggle_Accident_prediction,2018,June,Friday,Mizoram,Truck,Unidentified,4,Over 51,Unknown,Unknown/Other,Dry,Dark,2,0,0,Serious,Fog/Mist
10,KAG_000011,Kaggle_Accident_prediction,2023,March,Wednesday,Gujarat,Truck,Unidentified,3,Over 51,Unknown,Unknown/Other,Wet,Twilight,3,0,2,Fatal,Fog/Mist
11,KAG_000012,Kaggle_Accident_prediction,2021,May,Monday,Mizoram,Truck,Unidentified,3,31-50,Unknown,Unknown/Other,Damaged/Construction,Twilight,5,4,9,Serious,Rainy
