accident_id,source,year,month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,cause_of_accident,weather_condition,road_condition,lighting_condition,fatalities,injuries,casualties,severity
KAG_000001,Kaggle_Accident_prediction,2018,January,Wednesday,Uttar Pradesh,Truck,Unknown,5,Over 51,Unknown,Unknown,Hazy,Dry,Dusk,4,1,5,Minor
KAG_000002,Kaggle_Accident_prediction,2020,November,Tuesday,Meghalaya,Truck,Unknown,1,31-50,Unknown,Unknown,Stormy,Dry,Daylight,2,4,6,Serious
KAG_000003,Kaggle_Accident_prediction,2022,December,Wednesday,Himachal Pradesh,Truck,Unknown,3,31-50,Unknown,Unknown,Clear,Damaged,Dark,5,0,1,Minor
KAG_000004,Kaggle_Accident_prediction,2021,July,Saturday,Rajasthan,Truck,Unknown,3,Over 51,Unknown,Unknown,Clear,Damaged,Dawn,1,6,7,Fatal
KAG_000005,Kaggle_Accident_prediction,2018,June,Saturday,Nagaland,Truck,Unknown,5,Over 51,Unknown,Unknown,Foggy,Under Construction,Dusk,3,2,5,Minor
KAG_000006,Kaggle_Accident_prediction,2022,February,Monday,Meghalaya,Truck,Unknown,1,Over 51,Unknown,Unknown,Hazy,Under Construction,Dusk,1,3,4,Serious
KAG_000007,Kaggle_Accident_prediction,2022,February,Wednesday,Chhattisgarh,Truck,Unknown,2,Over 51,Unknown,Unknown,Rainy,Under Construction,Daylight,5,0,5,Fatal
KAG_000008,Kaggle_Accident_prediction,2022,February,Sunday,Tripura,Truck,Unknown,1,31-50,Unknown,Unknown,Foggy,Damaged,Dawn,1,7,8,Serious
KAG_000009,Kaggle_Accident_prediction,2021,February,Wednesday,Karnataka,Truck,Unknown,3,31-50,Unknown,Unknown,Rainy,Under Construction,Dark,5,0,1,Minor
KAG_000010,Kaggle_Accident_prediction,2018,June,Friday,Mizoram,Truck,Unknown,4,Over 51,Unknown,Unknown,Hazy,Dry,Dark,2,0,0,Serious
KAG_000011,Kaggle_Accident_prediction,2023,March,Wednesday,Gujarat,Truck,Unknown,3,Over 51,Unknown,Unknown,Foggy,Wet,Dawn,3,0,2,Fatal
KAG_000012,Kaggle_Accident_prediction,2021,May,Monday,Mizoram,Truck,Unknown,3,31-50,Unknown,Unknown,Rainy,Under Construction,Dusk,5,4,9,Serious
KAG_000013,Kaggle_Accident_prediction,2023,May,Friday,Punjab,Truck,Unknown,3,31-50,Unknown,Unknown,Clear,Dry,Dusk,0,0,0,Minor
KAG_000014,Kaggle_Accident_prediction,2018,January,Friday,Tamil Nadu,Truck,Unknown,1,Over 51,Unknown,Unknown,Hazy,Damaged,Daylight,1,8,9,Minor
KAG_000015,Kaggle_Accident_prediction,2021,September,Thursday,Chandigarh,Truck,Unknown,3,Over 51,Unknown,Unknown,Clear,Wet,Daylight,3,0,0,Minor
KAG_000016,Kaggle_Accident_prediction,2018,July,Friday,Puducherry,Truck,Unknown,3,Over 51,Unknown,Unknown,Clear,Under Construction,Dark,0,0,0,Minor
KAG_000017,Kaggle_Accident_prediction,2022,April,Saturday,Tamil Nadu,Truck,Unknown,1,31-50,Unknown,Unknown,Hazy,Under Construction,Dawn,2,1,3,Serious
KAG_000018,Kaggle_Accident_prediction,2023,September,Wednesday,Haryana,Truck,Unknown,2,Over 51,Unknown,Unknown,Rainy,Dry,Dawn,0,9,9,Serious
KAG_000019,Kaggle_Accident_prediction,2019,May,Sunday,Assam,Truck,Unknown,3,31-50,Unknown,Unknown,Clear,Under Construction,Dark,0,7,7,Serious
KAG_000020,Kaggle_Accident_prediction,2019,August,Thursday,Chandigarh,Truck,Unknown,3,31-50,Unknown,Unknown,Clear,Dry,Dusk,0,2,2,Serious
KAG_000021,Kaggle_Accident_prediction,2020,December,Monday,Odisha,Truck,Unknown,5,Over 51,Unknown,Unknown,Clear,Dry,Daylight,0,9,9,Fatal
KAG_000022,Kaggle_Accident_prediction,2019,May,Sunday,Bihar,Truck,Unknown,3,18-30,Unknown,Unknown,Stormy,Under Construction,Daylight,4,3,7,Minor
KAG_000023,Kaggle_Accident_prediction,2019,August,Friday,Manipur,Truck,Unknown,5,Over 51,Unknown,Unknown,Hazy,Wet,Daylight,4,0,1,Minor
KAG_000024,Kaggle_Accident_prediction,2021,September,Thursday,Delhi,Truck,Unknown,1,Over 51,Unknown,Unknown,Stormy,Damaged,Dusk,0,10,10,Serious
KAG_000025,Kaggle_Accident_prediction,2019,June,Wednesday,Telangana,Truck,Unknown,2,18-30,Unknown,Unknown,Hazy,Damaged,Dawn,0,8,8,Minor
KAG_000026,Kaggle_Accident_prediction,2021,November,Saturday,Punjab,Truck,Unknown,2,31-50,Unknown,Unknown,Hazy,Under Construction,Dawn,0,1,1,Serious
KAG_000027,Kaggle_Accident_prediction,2021,January,Wednesday,Manipur,Truck,Unknown,2,31-50,Unknown,Unknown,Foggy,Under Construction,Dark,3,0,3,Serious
KAG_000028,Kaggle_Accident_prediction,2020,January,Monday,Punjab,Truck,Unknown,5,Over 51,Unknown,Unknown,Stormy,Wet,Dusk,4,0,2,Serious
KAG_000029,Kaggle_Accident_prediction,2023,April,Tuesday,Bihar,Truck,Unknown,5,31-50,Unknown,Unknown,Stormy,Wet,Dark,4,0,0,Minor
KAG_000030,Kaggle_Accident_prediction,2018,September,Friday,West Bengal,Truck,Unknown,4,18-30,Unknown,Unknown,Stormy,Wet,Dusk,0,5,5,Fatal
KAG_000031,Kaggle_Accident_prediction,2023,May,Tuesday,Assam,Truck,Unknown,4,Over 51,Unknown,Unknown,Foggy,Under Construction,Daylight,0,7,7,Serious
KAG_000032,Kaggle_Accident_prediction,2023,August,Sunday,Jammu And Kashmir,Truck,Unknown,2,Over 51,Unknown,Unknown,Stormy,Under Construction,Dark,4,5,9,Fatal
KAG_000033,Kaggle_Accident_prediction,2018,September,Thursday,West Bengal,Truck,Unknown,5,18-30,Unknown,Unknown,Foggy,Under Construction,Daylight,5,0,3,Serious
KAG_000034,Kaggle_Accident_prediction,2022,July,Thursday,Jharkhand,Truck,Unknown,4,Over 51,Unknown,Unknown,Foggy,Under Construction,Dawn,1,3,4,Serious
KAG_000035,Kaggle_Accident_prediction,2022,January,Sunday,Goa,Truck,Unknown,4,31-50,Unknown,Unknown,Hazy,Damaged,Daylight,1,9,10,Minor
