month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,road_condition,lighting_condition,weather_group,Actual_Severity,Predicted_Severity,Risk_Score
October,Sunday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,10.0
October,Tuesday,Unknown,Truck,Unidentified,1,18-30,Unknown,Wet,Dark,Clear,Severe,Minor,49.03225806451613
October,Thursday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,3.0
June,Thursday,Tripura,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Minor,Severe,65.0
July,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Daylight,Rainy,Minor,Minor,1.0476190476190477
April,Thursday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,9.0
October,Wednesday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,13.18181818181818
May,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,15.443722943722943
September,Saturday,Unknown,Truck,Unidentified,3,31-50,Unknown,Wet,Dark,Rainy,Minor,Minor,42.0
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,1.032258064516129
March,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Severe,68.25757575757575
April,Tuesday,Unknown,Truck,Unidentified,3,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,41.0
May,Sunday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,99.0
March,Tuesday,Odisha,Truck,Unidentified,4,Over 51,Unknown,Dry,Daylight,Fog/Mist,Minor,Severe,77.0
April,Monday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,3.0
April,Thursday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,7.090909090909091
October,Tuesday,Haryana,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,99.0
June,Tuesday,Madhya Pradesh,Truck,Gorge,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
May,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Wet,Dark,Clear,Minor,Minor,37.0
March,Thursday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Severe,Minor,0.047619047619047616
November,Sunday,Chhattisgarh,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
May,Thursday,West Bengal,Truck,Unidentified,3,Over 51,Unknown,Dry,Twilight,Rainy,Severe,Severe,84.0
July,Sunday,Maharashtra,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
April,Tuesday,Unknown,Truck,Unidentified,6,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,13.0
October,Tuesday,Karnataka,Car,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,98.0
March,Monday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,26.047619047619047
March,Friday,Unknown,Truck,Unidentified,1,Unknown,Over 51,Dry,Daylight,Clear,Minor,Minor,17.047619047619047
May,Tuesday,Unknown,Truck,Unidentified,3,Under 18,18-30,Dry,Daylight,Clear,Severe,Minor,6.0
October,Wednesday,Jammu and Kashmir,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,79.0
August,Wednesday,Uttar Pradesh,Truck,Unidentified,2,Unknown,Under 18,Wet,Dark,Clear,Severe,Severe,52.0
May,Friday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Minor,Minor,1.0
January,Sunday,Punjab,Truck,Unidentified,3,31-50,Unknown,Damaged/Construction,Dark,Rainy,Minor,Severe,61.0
May,Friday,Unknown,Truck,Unidentified,3,Unknown,18-30,Dry,Dark,Clear,Minor,Minor,19.0
October,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,15.673160173160172
March,Wednesday,Maharashtra,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
October,Saturday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,5.0
April,Friday,Unknown,Truck,Unidentified,3,18-30,18-30,Wet,Daylight,Clear,Minor,Minor,15.0
October,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Severe,Minor,6.0
March,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Dark,Clear,Minor,Minor,26.0
March,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,28.000000000000004
April,Friday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Wet,Daylight,Clear,Minor,Minor,2.0
March,Saturday,Haryana,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
October,Saturday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,45.0
March,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
May,Wednesday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
May,Sunday,Unknown,Truck,Unidentified,4,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,7.000000000000001
January,Monday,Uttar Pradesh,Pedestrian,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,5.0
September,Thursday,Delhi,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Severe,Severe,59.0
July,Sunday,Unknown,Truck,Unidentified,4,Unknown,Unknown,Wet,Daylight,Rainy,Minor,Minor,27.0
August,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Rainy,Minor,Minor,7.000000000000001
May,Thursday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,18.0
May,Tuesday,Delhi,Car,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,100.0
April,Monday,Andhra Pradesh,Van,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
April,Wednesday,Unknown,Truck,Unidentified,1,Over 51,31-50,Dry,Daylight,Clear,Severe,Minor,27.80956339984575
July,Monday,Delhi,Pedestrian,Truck,2,Unknown,Under 18,Wet,Dark,Clear,Severe,Severe,98.0
July,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Rainy,Minor,Minor,2.0
November,Saturday,Uttar Pradesh,Two Wheeler,Truck,2,Unknown,31-50,Dry,Dark,Clear,Severe,Severe,99.0
August,Thursday,Unknown,Truck,Unidentified,1,31-50,31-50,Wet,Dark,Rainy,Minor,Severe,61.0
October,Tuesday,Tamil Nadu,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,99.0
November,Monday,Assam,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
